Bem Pat;Seq;Conta;DescriÁ„o Conta;Narrativa;Data Inv.;Plaqueta;LocalizaÁ„o;Un Neg;Plano CCusto;Centro Custo;MARCA;MODELO;LicenÁa Uso;EspecificaÁ„o TÈcnica
706809;0;135010402;EQUIPAMENTOS - PROD;MATERIAIS PARA FABRICACAO DA BICA DESVIA;30/11/2016;706809;NI;0;TORT2007;7225;;;;
706811;0;135010402;EQUIPAMENTOS - PROD;PRESTACAO DE SERVICO;30/11/2016;706811;NI;0;TORT2007;7231;;;;
706812;0;135010402;EQUIPAMENTOS - PROD;PRESTACAO DE SERVICO;30/11/2016;706812;NI;0;TORT2007;7231;;;;
706815;0;135010402;EQUIPAMENTOS - PROD;MANCAL SUPERIOR PARA ATOMIZADOR REF. 09;30/11/2016;706815;NI;0;TORT2007;7226;;;;
706820;0;135010402;EQUIPAMENTOS - PROD;REFORMA DE COMPRESSOR STAR HOSS;30/11/2016;706820;NI;0;TORT2007;7225;;;;
706821;0;135010402;EQUIPAMENTOS - PROD;CONJ. DE BUCHA DE BRONZE TM23 E MANCAL U;30/11/2016;706821;NI;0;TORT2007;7224;;;;
706822;0;135010402;EQUIPAMENTOS - PROD;CONFECCAO DE ROTOR DO MOINHO DE SAL CONF;30/11/2016;706822;NI;0;TORT2007;7225;;;;
706829;0;135010402;EQUIPAMENTOS - PROD;ROLO DA ESTEIRA DO SAL CONFORME AMOSTRA;30/11/2016;706829;NI;0;TORT2007;7225;;;;
706830;0;135010402;EQUIPAMENTOS - PROD;ROLO DA ESTEIRA DO SAL MINERAL;30/11/2016;706830;NI;0;TORT2007;7225;;;;
706834;0;135010402;EQUIPAMENTOS - PROD;SOFT STARTER;30/11/2016;706834;NI;0;TORT2007;7225;;;;
706835;0;135010402;EQUIPAMENTOS - PROD;SERVICO DE REPOSICAO DE ESTOQUE DE DISCO;30/11/2016;706835;NI;0;TORT2007;7224;;;;
706836;0;135010402;EQUIPAMENTOS - PROD;SERVICO COM OPERACAO PNEUMATICA;30/11/2016;706836;NI;0;TORT2007;7220;;;;
706839;0;135010402;EQUIPAMENTOS - PROD;CANECA PARA ELEVADOR EM NYLOTEC MED.;30/11/2016;706839;NI;0;TORT2007;7225;;;;
706840;0;135010402;EQUIPAMENTOS - PROD;CANECA PARA ELEVADOR EM NYLOTEC MED.;30/11/2016;706840;NI;0;TORT2007;7225;;;;
706841;0;135010402;EQUIPAMENTOS - PROD;ENGRENAGEM Z31 M8 - CIL. RETA;30/11/2016;706841;NI;0;TORT2007;7231;;;;
706843;0;135010402;EQUIPAMENTOS - PROD;CANECA PARA ELEVADOR EM NYLOTEC;30/11/2016;706843;NI;0;TORT2007;7225;;;;
706857;0;135010402;EQUIPAMENTOS - PROD;CONTATOR 110V SIEMENS;30/11/2016;706857;NI;0;TORT2007;7231;;;;
706859;0;135010402;EQUIPAMENTOS - PROD;ROLO MANTA ANTICHAMA HIBRIDO ARAMIDA COM;30/11/2016;706859;NI;0;TORT2007;7231;;;;
706861;0;135010402;EQUIPAMENTOS - PROD;CHASSI PARA A CABINA COMPLETA COM PISO;30/11/2016;706861;NI;0;TORT2007;7222;;;;
706862;0;135010402;EQUIPAMENTOS - PROD;ROLAMENTO SKF 222322 CCK W33;30/11/2016;706862;NI;0;TORT2007;7224;;;;
706863;0;135010402;EQUIPAMENTOS - PROD;CILINDRO BP STD;30/11/2016;706863;NI;0;TORT2007;7225;;;;
706864;0;135010402;EQUIPAMENTOS - PROD;CILINDRO DE IMPACTO;30/11/2016;706864;NI;0;TORT2007;7231;;;;
706866;0;135010402;EQUIPAMENTOS - PROD;FLANGE 100MM REF. RX30L300 BR;30/11/2016;706866;NI;0;TORT2007;7222;;;;
706871;0;135010402;EQUIPAMENTOS - PROD;ROLETE CORREIA TRANSP 3 X 235MM;30/11/2016;706871;NI;0;TORT2007;7225;;;;
706872;0;135010402;EQUIPAMENTOS - PROD;ROLETE DE RETORNO COM ESPIRAL DIAM 60MM;30/11/2016;706872;NI;0;TORT2007;7225;;;;
706875;0;135010402;EQUIPAMENTOS - PROD;COXIM PENEIRA VIBRATORIA;30/11/2016;706875;NI;0;TORT2007;7224;;;;
706876;0;135010402;EQUIPAMENTOS - PROD;CILINDRO SINTETICO SIMPLEX 4 CURSO 146MM;30/11/2016;706876;NI;0;TORT2007;7224;;;;
706877;0;135010402;EQUIPAMENTOS - PROD;ROLAMENTO SKF 22217 EK;30/11/2016;706877;NI;0;TORT2007;7231;;;;
